,joshgroban
1755,1463198958
1756,3565372337
1757,1477732003751424003
1758,14661829
1759,2751891679
1760,947989605814624259
1761,1306894000595460096
1762,1072855758
1763,1328803283771781126
1764,1487991994609815552
1765,1197002618415067137
1766,1478180278346694658
1767,1480223739484725251
1768,1487856433353871369
1769,1466376370825662465
1770,575582719
1771,1485199000231989248
1772,30925199
1773,1487794702728536066
1774,1158844462988169217
1775,1163150295855222784
1776,705046580
1777,1480282246598725633
1778,1373734045704728579
1779,1483294897037791236
1780,3329311936
1781,1487505792483962887
1782,1274120008831045633
1783,4888184968
1784,1479629746661208064
1785,1479097517719576583
1786,325219937
1787,1387103218581135364
1788,71933655
1789,461853879
1790,1482436137952153608
1791,249733824
1792,1264621584347738113
1793,1481429925412413442
1794,1486829160836173826
1795,823554443610386433
1796,1102413427
1797,1482722108912381958
1798,1456195958857822211
1799,1485483441450020865
1800,219745412
1801,1006075103124316160
1802,1324117208415444992
1803,1316246238900056064
1804,712132523489230848
1805,1486884328898502656
1806,26564258
1807,1654714699
1808,19131131
1809,463477763
1810,983606256257548293
1811,3576259153
1812,955634557612675072
1813,143180081
1814,1479819982439604224
1815,1295753410906472450
1816,830136855156969473
1817,2573315501
1818,1476499548633710593
1819,1486100281171578881
1820,1207950879497867265
1821,1485563433533812741
1822,1486390558075596806
1823,1476687701235617795
1824,2155998096
1825,1422082124086059010
1826,1486365485411278848
1827,814156772
1828,830512125932040192
1829,2343176529
1830,350408158
1831,1484998351292715012
1832,1237680517492781056
1833,1064640203510423552
1834,1485888039716941825
1835,2292170486
1836,1482445404339769345
1837,449831949
1838,1315648721661685760
1839,1365317825355636740
1840,705799740408074241
1841,1468300431655071744
1842,1443501841564635139
1843,95235884
1844,1458859041925611520
1845,301505176
1846,154922522
1847,1430734050877186048
1848,1482904992352722945
1849,1454827879473324032
1850,1656675140
1851,1478017816469065736
1852,1349915336276115456
1853,1068976141631873025
1854,1476190598138896391
1855,1445522235448455179
1856,1485318366332178437
1857,1484975772599209986
1858,98072677
1859,1481748033859633154
1860,1432976774749638656
1861,1485145129644171265
